	Curator	Spot-check	curation_date	cohort	age_min	age_max	age_units	number_subjects	tissue_type	tissue_type_term_id	method	response_component	is_model	response_behavior_type	response_behavior	comparison	baseline_time_event	time_point	time_point_units	exposure_material	exposure_material_id	exposure_process	disease_name	disease_stage	publication_reference_id	publication_date	publication_reference_url	signature_source	signature_source_url	comments	curator_comments
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD3; CD94; CD127; CD197; CD45RA		antibody response 	up	Clusters 0, 2, 12, 16, 18, 20-23 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD3; CD94; CD127; CD197; CD45RA		antibody response 	down	Clusters 1, 3-11, 13-15, 17, 19, 24 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD34; TCRa7		antibody response 	up	Clusters 2, 9, 18-19, 21 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD34; TCRa7		antibody response 	down	Clusters 0-1, 2-7, 10-17, 20, 22-24 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD33; CD86; CD11c		antibody response 	up	Clusters 3-5, 11, 16, 21 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD33; CD86; CD11c		antibody response 	down	Clusters 0-2, 6-10, 12-15, 17-20, 22-24 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CDC1c-BDCA1; FCER1a		antibody response 	up	Clusters 5, 7, 14, 17, 21-22 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CDC1c-BDCA1; FCER1a		antibody response 	down	Clusters 0-4, 6, 9-13, 15-16, 19-20, 23-24 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	isotype 2; isotype 3; isotype 4		antibody response 	up	Clusters 0, 2-4, 9, 14, 22 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	isotype 2; isotype 3; isotype 4		antibody response 	down	Clusters 1, 5-7, 10-13, 15-21, 23-24 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD25; CD45RO		antibody response 	up	Clusters 0, 3, 11, 16 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
	Amani 	Simranpreet	(2021-02-16)	Atlanta, Georgia, USA	47	75	years	7	Peripheral Blood Mononuclear Cells (PBMCs)		CITE-seq	CD25; CD45RO		antibody response 	down	Clusters 1-2, 4-10, 12-15, 17-24 from COVID-19 patients	time of clinical onset	2 to 16	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32788292	(2020-08-11)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/	Fig S11.	https://science.sciencemag.org/content/suppl/2020/08/11/science.abc6261.DC1	-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients "according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs". convalescent defined as "more than 4 weeks since symptom onset and currently asymptomatic. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring supplemental oxygen. Critical cases [ICU] were organ failure necessitating intensive care unit (ICU) care. Patients with RSV and influenza were defined as acute hospitalized patients with confirmed diagnoses by BioFire FilmArray of nasopharyngeal and oropharyngeal swabs. RSV and Flu patients were classified as moderate if not requiring oxygen, severe if requiring oxygen, and critical if requiring ICU level care." from Supplemental	
