""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_component_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_comp_orig_cnt"	"response_comp_cnt"	"row_key"
""	"natural killer cell"	""	"males in Paris, France"	"80"	"80"	"years"	"1"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"NKG2A+ NK cells"	""	"cell-type frequency"	"up"	"COVID-19 patients: day 16 vs day 14"	"time post-symptom onset"	"16"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2h; 5th Paragraph under \"Kinetics...\" section"	"\"frequency of NK cells expressing the inhibitory marker NKG2A markedly increased from day 14 (8%) to day 16 (44.6%)\""	"CL_0000623"	""	""	"natural killer cell"	"1"	"1"	"32829467_15_469"
""	"natural killer cell"	""	"males in Paris, France"	"80"	"80"	"years"	"1"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"NKG2A+ NK cells"	""	"cell-type frequency"	"up"	"COVID-19 patients: day 20 vs day 16"	"time post-symptom onset"	"20"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2h; 5th Paragraph under \"Kinetics...\" section"	"\"frequency of NK cells expressing the inhibitory marker NKG2A ....day 16 (44.6%), peaked on day 20 (50.6%)\""	"CL_0000623"	""	""	"natural killer cell"	"1"	"1"	"32829467_16_470"
""	"natural killer cell"	""	"males in Paris, France"	"21.5"	"80"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"NKG2A+ NK cells"	""	"cell-type frequency"	"up"	"COVID-19 patients vs healthy controls"	"time post-symptom onset"	"20"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2h; 5th Paragraph under \"Kinetics...\" section"	"\"frequency of NK cells expressing the inhibitory marker NKG2A ....peaked on day 20 (50.6%), and remained much higher than in HD (33% [27-41])\""	"CL_0000623"	""	""	"natural killer cell"	"1"	"1"	"32829467_17_471"
""	"cd14-positive, cd16-negative classical monocyte"	""	"males in Paris, France"	"80"	"80"	"years"	"1"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"classical CD14+ CD16- monocytes"	""	"cell-type frequency"	"down"	"COVID-19 patients: day 20 vs day 16"	"time post-symptom onset"	"20"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2i; 6th Paragraph under \"Kinetics...\" section"	"\"frequency of classical CD14+CD16- monocytes steadily decreased from day 16, through days 20.\"..73.2% for day 16, 29.8% for day 20"	"CL_0002057"	""	""	"cd14-positive, cd16-negative classical monocyte"	"1"	"1"	"32829467_18_472"
""	"cd14-positive, cd16-negative classical monocyte"	""	"males in Paris, France"	"80"	"80"	"years"	"1"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"classical CD14+ CD16- monocytes"	""	"cell-type frequency"	"down"	"COVID-19 patients: day 22 vs day 20"	"time post-symptom onset"	"22"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2i; 6th Paragraph under \"Kinetics...\" section"	"\"frequency of classical CD14+CD16- monocytes steadily decreased from day 16, through days 20 and 22, to day 24\" Day 20: 29.8%. Day 22: 12.2%"	"CL_0002057"	""	""	"cd14-positive, cd16-negative classical monocyte"	"1"	"1"	"32829467_19_473"
""	"cd14-positive, cd16-negative classical monocyte"	""	"males in Paris, France"	"80"	"80"	"years"	"1"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"classical CD14+ CD16- monocytes"	""	"cell-type frequency"	"down"	"COVID-19 patients: day 24 vs day 22"	"time post-symptom onset"	"24"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2i; 6th Paragraph under \"Kinetics...\" section"	"\"frequency of classical CD14+CD16- monocytes steadily decreased from day 16, through days 20 and 22, to day 24\". Day 22: 12.2%. Day 24: 5.7%"	"CL_0002057"	""	""	"cd14-positive, cd16-negative classical monocyte"	"1"	"1"	"32829467_20_474"
""	"cd14-positive, cd16-positive monocyte; non-classical monocyte (CD14-,CD16+)"	""	"males in Paris, France"	"21.5"	"80"	"years"	"6"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"intermediate CD16+ CD14+ monocytes; non-classical CD14- CD16+ monocytes"	""	"cell-type frequency"	"down"	"COVID-19 patients vs healthy controls"	"time post-symptom onset"	"15"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"chronic"	"32829467"	"2020-08-22"	"https://link.springer.com/article/10.1007/s10875-020-00839-x"	"Fig 2i; 6th Paragraph under \"Kinetics...\" section"	"\"frequency of intermediate CD16+CD14+ and non-classical CD14-CD16+ monocytes remained extremely low throughout the follow-up, with a nadir at day 15 (0.4 and 0.02% versus 4.4% [2.9-5.8] and 4% [3.3-5.1] for HD, respectively)\""	"CL_0002397; CL_0000875"	"; (CD14-,CD16+)"	"; PR:000001889,PR:000001483"	"cd14-positive, cd16-positive monocyte; non-classical monocyte (CD14-,CD16+)"	"2"	"2"	"32829467_21_475"
""	"blood cell (WBCs); monocyte; neutrophil"	""	"Caucasians in Sassari, Italy"	"59"	"90"	"years"	"60"	"Whole Blood"	"UBERON:0000178"	"clinical laboratory test"	"whole blood cells (WBCs); monocytes; neutrophils"	""	"cell-type frequency"	"down"	"COVID-19 pneumonia patients vs non-COVID-19 pneumonia patients"	"time since hospital admission"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32794454"	"2020-07-31"	"https://jidc.org/index.php/journal/article/view/32794454/2297"	"Table 2."	"\"cases with COVID-19 and non-COVID-19 pneumonia were matched for age and gender\" \"COVID-19 patients were  more  often  smokers  (66%  vs.  20%,  p  =  0.0003)  and  more  likely  to  die  during  the  follow-up  (30%  vs.  3%, p = 0.006).\""	"CL_0000081; CL:0000576; CL_0000775"	"(WBCs); "	""	"blood cell (WBCs); monocyte; neutrophil"	"3"	"3"	"32794454_1_513"
""	"platelet"	""	"Caucasians in Sassari, Italy"	"59"	"90"	"years"	"60"	"Whole Blood"	"UBERON:0000178"	"clinical laboratory test"	"platelets"	""	"cell-type frequency"	"up"	"COVID-19 pneumonia patients vs non-COVID-19 pneumonia patients"	"time since hospital admission"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32794454"	"2020-07-31"	"https://jidc.org/index.php/journal/article/view/32794454/2297"	"Table 2."	"-also had higher MPV values (Mean Platelet Volume). Lymphocyte-to-monocyte ratio (LMR) was higher in COVID-19 pneumonia patients vs non-COVID-19 pneumonia patients"	"CL_0000233"	""	""	"platelet"	"2"	"1"	"32794454_2_514"
""	"neutrophil"	""	"Caucasian COVID-19 Patients in Sassari, Italy"	"59"	"90"	"years"	"30"	"Whole Blood"	"UBERON:0000178"	"clinical laboratory test"	"neutrophils"	""	"cell-type frequency"	"up"	"COVID-19 pneumonia non-survivors vs COVID-19 pneumonia survivors"	"time of  hospital admission"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32794454"	"2020-07-31"	"https://jidc.org/index.php/journal/article/view/32794454/2297"	"Table 3."	"-Neutrophil-to-Lymphocyte ratio (NLR) & derived NLR were significantly higher in non-survivors than in survivors"	"CL_0000775"	""	""	"neutrophil"	"2"	"1"	"32794454_3_517"
""	"platelet"	""	"Caucasian COVID-19 Patients in Sassari, Italy"	"59"	"90"	"years"	"30"	"Whole Blood"	"UBERON:0000178"	"clinical laboratory test"	"platelets"	""	"cell-type frequency"	"down"	"COVID-19 pneumonia non-survivors vs COVID-19 pneumonia survivors"	"time of  hospital admission"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32794454"	"2020-07-31"	"https://jidc.org/index.php/journal/article/view/32794454/2297"	"Table 3."	"\"cases with COVID-19 and non-COVID-19 pneumonia were matched for age and gender\" \"COVID-19 patients were  more  often  smokers  (66%  vs.  20%,  p  =  0.0003)  and  more  likely  to  die  during  the  follow-up  (30%  vs.  3%, p = 0.006).\""	"CL_0000233"	""	""	"platelet"	"1"	"1"	"32794454_4_518"
""	"monocyte; cd14-positive, cd16-negative classical monocyte"	""	"Paris, France"	"52"	"77"	"years"	"45"	"peripheral venous blood"	"UBERON:0000178"	"flow cytometry"	"CD45 monocytes; CD45 classical (CD14Hi CD16-) monocytes"	""	"cell-type frequency"	"down"	"type 2 diabetes COVID-19 patients vs non-diabetes COVID-19 patients"	"COVID duration at inclusion"	"5 to 17"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32816392"	"2020-09-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461002/"	"Fig 1A-B; Appendix Fig S1B-C"	""	"CL_0000576; CL_0002057"	""	""	"monocyte; cd14-positive, cd16-negative classical monocyte"	"2"	"2"	"32816392_1_566"
""	"monocyte (large-size, as determined by forward scatter)"	""	"Paris, France"	"52"	"77"	"years"	"45"	"peripheral venous blood"	"UBERON:0000178"	"flow cytometry"	"large (FSC-Hi) monocytes"	""	"cell-type frequency"	"up"	"type 2 diabetes COVID-19 patients vs non-diabetes COVID-19 patients"	"COVID duration at inclusion"	"5 to 17"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32816392"	"2020-09-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461002/"	"Fig 2B"	""	"CL_0000576"	"(large-size, as determined by forward scatter)"	""	"monocyte (large-size, as determined by forward scatter)"	"1"	"1"	"32816392_2_569"
""	"cd14-positive, cd16-positive monocyte"	""	"Paris, France"	"52"	"77"	"years"	"45"	"peripheral venous blood"	"UBERON:0000178"	"flow cytometry"	"intermediate (CD14Hi CD16+) monocytes"	""	"cell-type frequency"	"up"	"All COVID-19 patients: conventional (FSC-Lo) monocytes vs large (FSC-Hi) monocytes"	"COVID duration at inclusion"	"5 to 17"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32816392"	"2020-09-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461002/"	"Fig 2D"	""	"CL_0002397"	""	""	"cd14-positive, cd16-positive monocyte"	"1"	"1"	"32816392_3_571"
""	"monocyte"	""	"Type 2 Diabetes COVID-19 Patients in Paris, France"	"54"	"77"	"years"	"30"	"peripheral venous blood"	"UBERON:0000178"	"flow cytometry"	"CD45 monocytes"	""	"cell-type frequency"	"down"	"type 2 diabetes ICU COVID-19 patients vs type 2 diabetes general ward COVID-19 patients"	"COVID duration at inclusion"	"7 to 17"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32816392"	"2020-09-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461002/"	"Fig 4B"	""	"CL_0000576"	""	""	"monocyte"	"1"	"1"	"32816392_4_582"
""	"monocyte (CD8+); cd14-positive, cd16-negative classical monocyte"	""	"Type 2 Diabetes COVID-19 Patients in Paris, France"	"54"	"77"	"years"	"30"	"peripheral venous blood"	"UBERON:0000178"	"phenotypic analysis"	"CD45 CD8+ monocytes; CD45 classical (CD14Hi CD16-) monocytes"	""	"cell-type frequency"	"down"	"type 2 diabetes ICU COVID-19 patients vs type 2 diabetes general ward COVID-19 patients"	"COVID duration at inclusion"	"7 to 17"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32816392"	"2020-09-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461002/"	"Fig 4C"	""	"CL_0000576; CL_0002057"	"(CD8+); "	"PR:000001084; "	"monocyte (CD8+); cd14-positive, cd16-negative classical monocyte"	"2"	"2"	"32816392_5_583"
""	"CD14-positive monocyte; cd8-positive, alpha-beta t cell"	""	"Type 2 Diabetes COVID-19 Patients in Paris, France"	"54"	"77"	"years"	"30"	"peripheral venous blood"	"UBERON:0000178"	"t-SNE mapping"	"CD14+ monocytes; CD8+ lymphocytes"	""	"cell-type frequency"	"down"	"type 2 diabetes ICU COVID-19 patients vs type 2 diabetes general ward COVID-19 patients"	"COVID duration at inclusion"	"7 to 17"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32816392"	"2020-09-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461002/"	"Fig 4D"	""	"CL:0001054; CL_0000625"	""	""	"CD14-positive monocyte; cd8-positive, alpha-beta t cell"	"2"	"2"	"32816392_6_584"
""	"monocyte"	""	"Paris, France"	"52"	"77"	"years"	"45"	"peripheral venous blood"	"UBERON:0000178"	"clinical laboratory test"	"monocytes"	""	"cell-type frequency"	"down"	"type 2 diabetes COVID-19 patients vs non-diabetes COVID-19 patients"	"time since admission to hospital"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32816392"	"2020-09-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461002/"	"Appendix Table S1"	""	"CL:0000576"	""	""	"monocyte"	"1"	"1"	"32816392_7_585"
""	"CD14-positive monocyte; cd14-positive, cd16-negative classical monocyte"	""	"Paris, France"	"52"	"77"	"years"	"45"	"peripheral venous blood"	"UBERON:0000178"	"flow cytometry"	"CD14+ monocytes; CD14Hi CD16- classical monocytes"	""	"cell-type frequency"	"down"	"type 2 diabetes COVID-19 patients vs non-diabetes COVID-19 patients"	"COVID duration at inclusion"	"5 to 17"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32816392"	"2020-09-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461002/"	"Appendix Table S2"	""	"CL:0001054; CL_0002057"	""	""	"CD14-positive monocyte; cd14-positive, cd16-negative classical monocyte"	"2"	"2"	"32816392_8_586"
""	"lymphocyte; b cell; cd8-positive, alpha-beta t cell; cd4-positive, alpha-beta t cell; double-positive, alpha-beta thymocyte (CD4+,CD8+); t cell (CD4-,CD8-)"	""	"Paris, France"	"52"	"77"	"years"	"45"	"peripheral venous blood"	"UBERON:0000178"	"flow cytometry"	"CD45 lymphocytes; CD45 B cells; CD45 CD8+ lymphocytes; CD45 CD4+ lymphocytes; CD45 CD4+ CD8+ lymphocytes; CD45 CD4- CD8- lymphocytes"	""	"cell-type frequency"	"down"	"non-diabetes COVID-19 patients vs type 2 diabetes non-COVID-19 patients"	"COVID duration at inclusion"	"5 to 17"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32816392"	"2020-09-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461002/"	"Appendix Fig S1B-C"	""	"CL_0000542; CL_0000236; CL_0000625; CL_0000624; CL_0000809; CL_0000084"	"; (CD4+,CD8+); (CD4-,CD8-)"	"; PR:000001004,PR:000001084"	"lymphocyte; b cell; cd8-positive, alpha-beta t cell; cd4-positive, alpha-beta t cell; double-positive, alpha-beta thymocyte (CD4+,CD8+); t cell (CD4-,CD8-)"	"6"	"6"	"32816392_9_587"
""	"granulocyte"	""	"Paris, France"	"52"	"77"	"years"	"45"	"peripheral venous blood"	"UBERON:0000178"	"flow cytometry"	"CD45 granulocytes"	""	"cell-type frequency"	"up"	"non-diabetes COVID-19 patients vs type 2 diabetes non-COVID-19 patients"	"COVID duration at inclusion"	"5 to 17"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32816392"	"2020-09-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461002/"	"Appendix Fig S1B"	""	"CL_0000094"	""	""	"granulocyte"	"1"	"1"	"32816392_10_588"
""	"lymphocyte; monocyte; b cell; cd8-positive, alpha-beta t cell; cd4-positive, alpha-beta t cell; double-positive, alpha-beta thymocyte (CD4+,CD8+); t cell (CD4-,CD8-)"	""	"Type 2 Diabetes Patients in Paris, France"	"54"	"77"	"years"	"60"	"peripheral venous blood"	"UBERON:0000178"	"flow cytometry"	"CD45 lymphocytes; CD45 monocytes; CD45 B cells; CD45 CD8+ lymphocytes; CD45 CD4+ lymphocytes; CD45 CD4+ CD8+ lymphocytes; CD45 CD4- CD8- lymphocytes"	""	"cell-type frequency"	"down"	"type 2 diabetes COVID-19 patients vs type 2 diabetes non-COVID-19 patients"	"COVID duration at inclusion"	"5 to 17"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32816392"	"2020-09-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461002/"	"Appendix Fig S1B-C"	""	"CL_0000542; CL_0000576; CL_0000236; CL_0000625; CL_0000624; CL_0000809; CL_0000084"	"; (CD4+,CD8+); (CD4-,CD8-)"	"; PR:000001004,PR:000001084"	"lymphocyte; monocyte; b cell; cd8-positive, alpha-beta t cell; cd4-positive, alpha-beta t cell; double-positive, alpha-beta thymocyte (CD4+,CD8+); t cell (CD4-,CD8-)"	"7"	"7"	"32816392_11_589"
""	"granulocyte"	""	"Type 2 Diabetes Patients in Paris, France"	"54"	"77"	"years"	"60"	"peripheral venous blood"	"UBERON:0000178"	"flow cytometry"	"CD45 granulocytes"	""	"cell-type frequency"	"up"	"type 2 diabetes COVID-19 patients vs type 2 diabetes non-COVID-19 patients"	"COVID duration at inclusion"	"5 to 17"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32816392"	"2020-09-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461002/"	"Appendix Fig S1B"	""	"CL_0000094"	""	""	"granulocyte"	"1"	"1"	"32816392_12_590"
""	"lymphocyte; basophil; eosinophil"	""	"Tartu, Estonia"	"23"	"92"	"years"	"134"	"plasma"	"UBERON:0001969"	"Legendplex assay; OLINK assay"	"lymphocytes; basophil; eosinophil"	""	"cell-type frequency"	"down"	"ICU COVID-19 patients vs healthy patients"	"early stage of disease"	"0 to 3"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33239683"	"2020-11-25"	"https://www.nature.com/articles/s41598-020-77525-w"	"Suppl Fig 1: D1, H1, I1"	"-measured in % of cell"	"CL_0000542; CL_0000767; CL:0000771"	""	""	"lymphocyte; basophil; eosinophil"	"3"	"3"	"33239683_1_632"
""	"neutrophil"	""	"Tartu, Estonia"	"23"	"92"	"years"	"134"	"plasma"	"UBERON:0001969"	"Olink multiplex inflammation panel"	"neutrophil"	""	"cell-type frequency"	"up"	"ICU COVID-19 patients vs healthy patients"	"early stage of disease"	"0 to 3"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33239683"	"2020-11-25"	"https://www.nature.com/articles/s41598-020-77525-w"	"Suppl Fig 1: E1, F1"	"-measured in % of cell, NLR stands for neutrophil:lymphocyte ratio"	"CL:0000775"	""	""	"neutrophil"	"2"	"1"	"33239683_2_633"
""	"neutrophil; blood cell"	""	"Tartu, Estonia"	"23"	"92"	"years"	"134"	"plasma"	"UBERON:0001969"	"Olink multiplex inflammation panel"	"neutrophil; whole blood cell (WBC)"	""	"cell-type frequency"	"up"	"ICU COVID-19 patients vs healthy patients"	"time since onset of symptoms"	"0 to 54"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33239683"	"2020-11-25"	"https://www.nature.com/articles/s41598-020-77525-w"	"Suppl Fig 1: E2, F2, G2"	"-measured in % of cell, NLR stands for neutrophil:lymphocyte ratio"	"CL:0000775; CL_0000081"	""	""	"neutrophil; blood cell"	"3"	"2"	"33239683_3_634"
""	"basophil; lymphocyte"	""	"Tartu, Estonia"	"23"	"92"	"years"	"134"	"plasma"	"UBERON:0001969"	"Olink multiplex inflammation panel"	"basophil; lymphocyte"	""	"cell-type frequency"	"down"	"ICU COVID-19 patients vs healthy patients"	"time since onset of symptoms"	"0 to 54"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33239683"	"2020-11-25"	"https://www.nature.com/articles/s41598-020-77525-w"	"Suppl Fig 1: D2, H2"	"-measured in % of cell"	"CL_0000767; CL:0000542"	""	""	"basophil; lymphocyte"	"2"	"2"	"33239683_4_635"
""	"neutrophil"	""	"Tartu, Estonia"	"21"	"92"	"years"	"144"	"plasma"	"UBERON:0001969"	"Olink multiplex inflammation panel"	"neutrophil"	""	"cell-type frequency"	"up"	"non-ICU COVID-19 patients vs healthy patients"	"time since onset of symptoms"	"0 to 44"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33239683"	"2020-11-25"	"https://www.nature.com/articles/s41598-020-77525-w"	"Suppl Fig 1: E2"	"-measured in % of cell"	"CL:0000775"	""	""	"neutrophil"	"1"	"1"	"33239683_5_636"
